SW1,191000,223500,0.75,SERVICE
SW2,191100,212500,0.75,POOL-SPA-SPILLOVER
SW3,191200,201500,0.75,FILTER
SW4,191300,190500,0.75,LIGHTS
SW5,191400,178500,0.75,HEATER1
SW6,191500,167500,0.75,VALVE3
SW7,191600,155500,0.75,VALVE4
SW12,147700,178000,0.75,AUX1
SW13,147700,166000,0.75,AUX2
SW14,147700,155000,0.75,AUX3
SW19,104700,178000,0.75,AUX4
SW20,104700,166000,0.75,AUX5
SW21,104700,154500,0.75,AUX6
SW24,114500,258000,0.6,MENU
SW26,101300,258000,0.6,>
SW25,114500,266000,0.6,+
SW22,128000,258000,0.6,<
SW23,115000,250000,0.6,-
LCD,143000,258000,black,LCD
